onset,duration,trial_type,stim,US,phase,sub
4.033,5.0,CS+,animals/ant.jpg,1,fear_conditioning,1
14.2,4.0,CS-,tools/lawnmower.jpg,0,fear_conditioning,1
24.266,4.5,CS+,animals/dramaderry.jpg,0,fear_conditioning,1
33.833,5.0,CS+,animals/assassinbug.jpg,1,fear_conditioning,1
46.0,5.0,CS-,tools/thermometer.jpg,0,fear_conditioning,1
58.066,4.0,CS-,tools/tubeflaring.jpg,0,fear_conditioning,1
67.15,5.0,CS+,animals/baldeagle.jpg,0,fear_conditioning,1
78.233,5.0,CS-,tools/woodchipper.jpg,0,fear_conditioning,1
89.3,5.0,CS-,tools/broom.jpg,0,fear_conditioning,1
100.383,4.0,CS+,animals/firebug.jpg,1,fear_conditioning,1
109.583,4.5,CS+,animals/snail.jpg,1,fear_conditioning,1
119.266,4.5,CS-,tools/eraser.jpg,0,fear_conditioning,1
130.85,4.0,CS+,animals/sheep.jpg,0,fear_conditioning,1
140.933,4.5,CS-,tools/fan.jpg,0,fear_conditioning,1
150.5,4.5,CS+,animals/catfish.jpg,0,fear_conditioning,1
160.066,4.0,CS-,tools/benchdogs.jpg,0,fear_conditioning,1
170.15,4.0,CS-,tools/mallet.jpg,0,fear_conditioning,1
180.233,4.0,CS+,animals/mahimahi.jpg,1,fear_conditioning,1
191.399,4.0,CS-,tools/spoon.jpg,0,fear_conditioning,1
202.483,4.0,CS+,animals/turkey.jpg,1,fear_conditioning,1
211.666,5.0,CS-,tools/pruner.jpg,0,fear_conditioning,1
223.749,5.0,CS+,animals/camel.jpg,0,fear_conditioning,1
233.816,4.5,CS+,animals/duck.jpg,0,fear_conditioning,1
244.399,4.0,CS-,tools/measuringcups.jpg,0,fear_conditioning,1
254.483,5.0,CS-,tools/blackboard.jpg,0,fear_conditioning,1
265.566,5.0,CS+,animals/carp.jpg,1,fear_conditioning,1
277.749,4.5,CS-,tools/wrench.jpg,0,fear_conditioning,1
287.333,4.5,CS-,tools/sander.jpg,0,fear_conditioning,1
298.899,4.0,CS+,animals/anteater.jpg,0,fear_conditioning,1
307.983,4.5,CS+,animals/palmcockatoo.jpg,0,fear_conditioning,1
319.549,5.0,CS-,tools/ruler.jpg,0,fear_conditioning,1
330.633,4.0,CS+,animals/chipmunk.jpg,1,fear_conditioning,1
341.816,4.0,CS-,tools/viceclamp.jpg,0,fear_conditioning,1
352.883,5.0,CS+,animals/seal.jpg,0,fear_conditioning,1
364.966,4.5,CS-,tools/routerplane.jpg,0,fear_conditioning,1
374.549,4.0,CS+,animals/mouse.jpg,0,fear_conditioning,1
384.616,5.0,CS+,animals/partridge.jpg,1,fear_conditioning,1
394.799,4.5,CS-,tools/weedeater.jpg,0,fear_conditioning,1
404.383,5.0,CS-,tools/vegetablepeeler.jpg,0,fear_conditioning,1
416.466,4.5,CS+,animals/brown_bear.jpg,1,fear_conditioning,1
426.149,4.5,CS+,animals/rabbit.jpg,0,fear_conditioning,1
436.716,4.5,CS-,tools/measuringdevice.jpg,0,fear_conditioning,1
447.283,4.0,CS+,animals/shark.jpg,1,fear_conditioning,1
457.466,5.0,CS-,tools/beaker.jpg,0,fear_conditioning,1
469.533,4.5,CS+,animals/mink.jpg,0,fear_conditioning,1
479.099,4.0,CS-,tools/levelmount.jpg,0,fear_conditioning,1
490.183,5.0,CS+,animals/herring.jpg,1,fear_conditioning,1
501.366,4.5,CS-,tools/sparkplug.jpg,0,fear_conditioning,1
